n,scenario,spp,value
18,scenario1,TOTAL,1736831
18,scenario2_alt,ATFL,25127
18,scenario2_alt,BHGR,73053
18,scenario2_alt,COYE,350997
18,scenario2_alt,LAZB,8644
18,scenario2_alt,NUWO,25137
18,scenario2_alt,SOSP,1118789
18,scenario2_alt,SPTO,472405
18,scenario2_alt,YBCH,178
18,scenario2_alt,YEWA,240051
18,scenario2_alt,TOTAL,1646534
18,scenario3_alt,ATFL,72746
18,scenario3_alt,BHGR,179045
18,scenario3_alt,COYE,398650
18,scenario3_alt,LAZB,48385
18,scenario3_alt,NUWO,65088
18,scenario3_alt,SOSP,1152358
18,scenario3_alt,SPTO,554818
18,scenario3_alt,YBCH,181
18,scenario3_alt,YEWA,230942
18,scenario3_alt,TOTAL,1750331
19,baseline,ATFL,68393
19,baseline,BHGR,32076
19,baseline,COYE,442950
19,baseline,LAZB,13572
19,baseline,NUWO,17182
19,baseline,SOSP,1009129
19,baseline,SPTO,259920
19,baseline,YBCH,42432
19,baseline,YEWA,50726
19,baseline,TOTAL,1389773
19,scenario1,ATFL,98887
19,scenario1,BHGR,65426
19,scenario1,COYE,506424
19,scenario1,LAZB,12972
19,scenario1,NUWO,40701
19,scenario1,SOSP,1084397
19,scenario1,SPTO,356855
19,scenario1,YBCH,42403
19,scenario1,YEWA,60175
19,scenario1,TOTAL,1534901
19,scenario2_alt,ATFL,60544
19,scenario2_alt,BHGR,25471
19,scenario2_alt,COYE,398171
19,scenario2_alt,LAZB,9822
19,scenario2_alt,NUWO,13222
19,scenario2_alt,SOSP,1081828
19,scenario2_alt,SPTO,267161
19,scenario2_alt,YBCH,40923
19,scenario2_alt,YEWA,49932
19,scenario2_alt,TOTAL,1428279
19,scenario3_alt,ATFL,99014
19,scenario3_alt,BHGR,60526
19,scenario3_alt,COYE,463394
19,scenario3_alt,LAZB,10084
19,scenario3_alt,NUWO,35199
19,scenario3_alt,SOSP,1180115
19,scenario3_alt,SPTO,426778
19,scenario3_alt,YBCH,41288
19,scenario3_alt,YEWA,64014
19,scenario3_alt,TOTAL,1644509
20,baseline,ATFL,47322
20,baseline,BHGR,38000
20,baseline,COYE,801507
20,baseline,LAZB,283
20,baseline,NUWO,18870
20,baseline,SOSP,1898543
20,baseline,SPTO,199890
20,baseline,YBCH,6273
20,baseline,YEWA,46364
20,baseline,TOTAL,2342985
20,scenario1,ATFL,85709
20,scenario1,BHGR,67473
20,scenario1,COYE,842185
20,scenario1,LAZB,2119
20,scenario1,NUWO,54099
20,scenario1,SOSP,1907359
20,scenario1,SPTO,269707
20,scenario1,YBCH,14944
20,scenario1,YEWA,53585
20,scenario1,TOTAL,2409976
20,scenario2_alt,ATFL,38435
20,scenario2_alt,BHGR,28135
20,scenario2_alt,COYE,777060
20,scenario2_alt,LAZB,46
20,scenario2_alt,NUWO,13921
20,scenario2_alt,SOSP,1805277
20,scenario2_alt,SPTO,212975
20,scenario2_alt,YBCH,2807
20,scenario2_alt,YEWA,47037
20,scenario2_alt,TOTAL,2246223
20,scenario3_alt,ATFL,83800
20,scenario3_alt,BHGR,63385
20,scenario3_alt,COYE,817003
20,scenario3_alt,LAZB,1632
20,scenario3_alt,NUWO,49112
20,scenario3_alt,SOSP,1841447
20,scenario3_alt,SPTO,304098
20,scenario3_alt,YBCH,13696
20,scenario3_alt,YEWA,57593
20,scenario3_alt,TOTAL,2352843
21,baseline,ATFL,51883
21,baseline,BHGR,31765
21,baseline,COYE,390235
21,baseline,LAZB,24191
