scenario,ZONE,CODE_NAME,LABEL,area
baseline_win,Yolo,WETLAND_MANAGED,Managed Wetland,3329.0099999999998
baseline_win,Yolo,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,104.49
baseline_win,Yolo,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,3224.52
baseline_win,Yolo,WETLAND_OTHER,Other Wetland,2341.71
baseline_win,Yolo,WETLAND_TIDAL,Tidal Wetland,616.14
baseline_win,Yolo,WOODLAND,Woodland,58.5
scenario1_restoration,Contra Costa & Alameda,BARREN,Barren,17.009999999999998
scenario1_restoration,Contra Costa & Alameda,FIELD_CORN,Corn,4278.87
scenario1_restoration,Contra Costa & Alameda,FIELD_OTHER,Other Field Crops,522.36
scenario1_restoration,Contra Costa & Alameda,GRAIN&HAY_OTHER,Other Grains,665.4599999999999
scenario1_restoration,Contra Costa & Alameda,GRAIN&HAY_WHEAT,Wheat,1102.23
scenario1_restoration,Contra Costa & Alameda,GRASSLAND,Grassland,4192.11
scenario1_restoration,Contra Costa & Alameda,IDLE,Idle,2930.7599999999998
scenario1_restoration,Contra Costa & Alameda,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,5.85
scenario1_restoration,Contra Costa & Alameda,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,1211.22
scenario1_restoration,Contra Costa & Alameda,PASTURE_ALFALFA,Alfalfa,1282.23
scenario1_restoration,Contra Costa & Alameda,PASTURE_OTHER,Other Pasture,3991.3199999999997
scenario1_restoration,Contra Costa & Alameda,RICE,Rice,0
scenario1_restoration,Contra Costa & Alameda,RIPARIAN,Riparian,1158.75
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,71.55
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,179.01
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,25.65
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_SALIX,Riparian - Willow,123.3
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,343.97999999999996
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,24.84
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,390.41999999999996
scenario1_restoration,Contra Costa & Alameda,ROW,Row Crops,1829.79
scenario1_restoration,Contra Costa & Alameda,SCRUB,Scrub,174.6
scenario1_restoration,Contra Costa & Alameda,URBAN,Urban,12868.109999999999
scenario1_restoration,Contra Costa & Alameda,VINEYARD,Vineyard,752.4
scenario1_restoration,Contra Costa & Alameda,WATER,Water,7042.23
scenario1_restoration,Contra Costa & Alameda,WETLAND_MANAGED,Managed Wetland,32.58
scenario1_restoration,Contra Costa & Alameda,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,0
scenario1_restoration,Contra Costa & Alameda,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,32.58
scenario1_restoration,Contra Costa & Alameda,WETLAND_OTHER,Other Wetland,2111.49
scenario1_restoration,Contra Costa & Alameda,WETLAND_TIDAL,Tidal Wetland,763.74
scenario1_restoration,Contra Costa & Alameda,WOODLAND,Woodland,174.51
scenario1_restoration,Sacramento,BARREN,Barren,3.33
scenario1_restoration,Sacramento,FIELD_CORN,Corn,6646.5
scenario1_restoration,Sacramento,FIELD_OTHER,Other Field Crops,1384.02
scenario1_restoration,Sacramento,GRAIN&HAY_OTHER,Other Grains,1135.08
scenario1_restoration,Sacramento,GRAIN&HAY_WHEAT,Wheat,1241.55
scenario1_restoration,Sacramento,GRASSLAND,Grassland,1866.78
scenario1_restoration,Sacramento,IDLE,Idle,3870.45
scenario1_restoration,Sacramento,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,8.01
scenario1_restoration,Sacramento,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,2694.06
scenario1_restoration,Sacramento,PASTURE_ALFALFA,Alfalfa,2300.22
scenario1_restoration,Sacramento,PASTURE_OTHER,Other Pasture,3747.42
scenario1_restoration,Sacramento,RICE,Rice,213.92999999999998
scenario1_restoration,Sacramento,RIPARIAN,Riparian,3170.3399999999997
scenario1_restoration,Sacramento,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,281.07
scenario1_restoration,Sacramento,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,535.3199999999999
scenario1_restoration,Sacramento,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,1245.87
scenario1_restoration,Sacramento,RIPARIAN_FOREST_SALIX,Riparian - Willow,261.81
