scenario,ZONE,CODE_NAME,LABEL,SCENARIO,BASELINE,net_change,change_prop,change_pct
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,343.8,343.97999999999996,-0.17999999999994998,-5.232862375718065e-4,-0.05232862375718065
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,24.84,24.84,0,0,0
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,382.14,389.88,-7.740000000000009,-0.019852262234533725,-1.9852262234533724
scenario2_perennialexpand,Contra Costa & Alameda,ROW,Row Crops,1829.79,1829.79,0,0,0
scenario2_perennialexpand,Contra Costa & Alameda,SCRUB,Scrub,174.6,174.6,0,0,0
scenario2_perennialexpand,Contra Costa & Alameda,URBAN,Urban,12869.189999999999,12869.189999999999,0,0,0
scenario2_perennialexpand,Contra Costa & Alameda,VINEYARD,Vineyard,810,752.4,57.60000000000002,0.07655502392344501,7.655502392344501
scenario2_perennialexpand,Contra Costa & Alameda,WATER,Water,7042.23,7042.23,0,0,0
scenario2_perennialexpand,Contra Costa & Alameda,WETLAND_MANAGED,Managed Wetland,0,0,0,NA,NA
scenario2_perennialexpand,Contra Costa & Alameda,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,0,0,0,NA,NA
scenario2_perennialexpand,Contra Costa & Alameda,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,0,0,0,NA,NA
scenario2_perennialexpand,Contra Costa & Alameda,WETLAND_OTHER,Other Wetland,2107.17,2119.0499999999997,-11.879999999999654,-0.0056062858356337305,-0.5606285835633731
scenario2_perennialexpand,Contra Costa & Alameda,WETLAND_TIDAL,Tidal Wetland,763.74,763.74,0,0,0
scenario2_perennialexpand,Contra Costa & Alameda,WOODLAND,Woodland,174.6,174.6,0,0,0
scenario2_perennialexpand,Sacramento,BARREN,Barren,3.96,3.96,0,0,0
scenario2_perennialexpand,Sacramento,FIELD_CORN,Corn,6362.46,6886.8,-524.3400000000001,-0.07613695765812861,-7.613695765812861
